type	by	post_message	picture	link	link_domain	post_published	post_published_unix	likes	likes_count_fb	comments_all	comments_base	comments_replies	shares	comment_likes	engagement	post_id	post_link
link	post_page_166283443520449	 As 15 raças de cães mais inteligentes do mundo  Curta: Rede Sustentabilidade	https://fbexternal-a.akamaihd.net/safe_image.php?d=AQB7VRc9oyNUBzlS&w=154&h=154&url=http%3A%2F%2Fcachorroamigo.com.br%2Fwp-content%2Fuploads%2F2014%2F01%2F1f744ace06c5c5885f4a0751cbbd1d39.jpg	http://www.raposo.blogspot.com.br/2014/01/as-15-racas-de-caes-mais-inteligentes.html	raposo.blogspot.com.br	2014-01-16T14:17:49+0000	1389881869	2	2	0	0	0	1	0	3	166283443520449_604366726302054	https://www.facebook.com/166283443520449/posts/604366726302054
link	post_page_166283443520449	 Adolescente indiana sofre duplo estupro coletivo e é queimada viva  Curta: Rede Sustentabilidade	https://fbexternal-a.akamaihd.net/safe_image.php?d=AQBOWc3tpsCt83cu&w=154&h=154&url=http%3A%2F%2F2.bp.blogspot.com%2F-4-TrZ74MRT8%2FUlv6Unp-PII%2FAAAAAAAABTg%2FsPYarBlCKQY%2Fs1600%2Ftopo.png	http://www.raposo.blogspot.com.br/2014/01/adolescente-indiana-sofre-duplo-estupro.html	raposo.blogspot.com.br	2014-01-16T14:17:21+0000	1389881841	0	0	0	0	0	0	0	0	166283443520449_604366559635404	https://www.facebook.com/166283443520449/posts/604366559635404
link	post_page_166283443520449	 Sensacional_ Greenpeace tira animais da abertura de _O Rei Leão_  Curta: Rede Sustentabilidade	https://fbexternal-a.akamaihd.net/safe_image.php?d=AQBOWc3tpsCt83cu&w=154&h=154&url=http%3A%2F%2F2.bp.blogspot.com%2F-4-TrZ74MRT8%2FUlv6Unp-PII%2FAAAAAAAABTg%2FsPYarBlCKQY%2Fs1600%2Ftopo.png	http://www.raposo.blogspot.com.br/2014/01/sensacional-greenpeace-tira-animais-da.html	raposo.blogspot.com.br	2014-01-16T14:16:16+0000	1389881776	0	0	0	0	0	0	0	0	166283443520449_604366159635444	https://www.facebook.com/166283443520449/posts/604366159635444
link	post_page_166283443520449	  CUIDADOS AO VOLANTE. Vídeo Impactante para Refletirmos.  Curta: Rede Sustentabilidade	https://fbexternal-a.akamaihd.net/safe_image.php?d=AQBOWc3tpsCt83cu&w=154&h=154&url=http%3A%2F%2F2.bp.blogspot.com%2F-4-TrZ74MRT8%2FUlv6Unp-PII%2FAAAAAAAABTg%2FsPYarBlCKQY%2Fs1600%2Ftopo.png	http://www.raposo.blogspot.com.br/2014/01/cuidados-ao-volante-video-impactante.html	raposo.blogspot.com.br	2014-01-16T14:15:46+0000	1389881746	1	1	0	0	0	1	0	2	166283443520449_604365969635463	https://www.facebook.com/166283443520449/posts/604365969635463
link	post_page_166283443520449	 Denúncia de Leitor de Vila Velha (ES)  Curta: Rede Sustentabilidade	https://fbexternal-a.akamaihd.net/safe_image.php?d=AQBGsQtRCgstia1F&w=154&h=154&url=http%3A%2F%2F2.bp.blogspot.com%2F-samDks4EoAE%2FUs2eg14ljhI%2FAAAAAAAABpU%2FdZUDVMh5ORU%2Fs1600%2F1479037_633730606665384_2142753076_n.jpg	http://www.raposo.blogspot.com.br/2014/01/denuncia-de-leitor-de-vila-velha-es.html	raposo.blogspot.com.br	2014-01-16T14:15:28+0000	1389881728	1	1	0	0	0	0	0	1	166283443520449_604365866302140	https://www.facebook.com/166283443520449/posts/604365866302140
link	post_page_166283443520449	 Guia de entendimento dos sinais corporais e verbais do cachorro  Curta: Rede Sustentabilidade	https://fbexternal-a.akamaihd.net/safe_image.php?d=AQD2iIbRi4EoQgdR&w=154&h=154&url=http%3A%2F%2Fenciclopets.com.br%2Fwp-content%2Fuploads%2F2013%2F04%2F800px-Dog_television.jpg	http://www.raposo.blogspot.com.br/2014/01/guia-de-entendimento-dos-sinais.html	raposo.blogspot.com.br	2014-01-16T14:14:59+0000	1389881699	2	2	0	0	0	2	0	4	166283443520449_604365689635491	https://www.facebook.com/166283443520449/posts/604365689635491
link	post_page_166283443520449	Marido tira fotos com saia de bailarina para fazer mulher com câncer sorrir   Curta: Rede Sustentabilidade	https://fbexternal-a.akamaihd.net/safe_image.php?d=AQBI2466FxWTfvG9&w=154&h=154&url=http%3A%2F%2Fs2.glbimg.com%2Fj-yAMenC8sYFQIqNhLHZ6jOxNi6qkVp1URQsogIqsiJIoz-HdGixxa_8qOZvMp3w%2Fe.glbimg.com%2Fog%2Fed%2Ff%2Foriginal%2F2014%2F01%2F13%2Ftutu_ok_1.jpg	http://www.raposo.blogspot.com.br/2014/01/the-tutu-project-marido-tira-fotos-com.html	raposo.blogspot.com.br	2014-01-16T14:14:34+0000	1389881674	4	4	0	0	0	0	0	4	166283443520449_604365522968841	https://www.facebook.com/166283443520449/posts/604365522968841
link	post_page_166283443520449	  As Manchetes dos Principais Jornais Brasileiros  Curta: Rede Sustentabilidade	https://fbexternal-a.akamaihd.net/safe_image.php?d=AQBOWc3tpsCt83cu&w=154&h=154&url=http%3A%2F%2F2.bp.blogspot.com%2F-4-TrZ74MRT8%2FUlv6Unp-PII%2FAAAAAAAABTg%2FsPYarBlCKQY%2Fs1600%2Ftopo.png	http://www.raposo.blogspot.com.br/2014/01/as-manchetes-dos-principais-jornais_15.html	raposo.blogspot.com.br	2014-01-16T14:13:13+0000	1389881593	3	3	0	0	0	0	0	3	166283443520449_604365036302223	https://www.facebook.com/166283443520449/posts/604365036302223
link	post_page_166283443520449	Cerrado	https://fbexternal-a.akamaihd.net/safe_image.php?d=AQBFfJ5heXg7fWPs&w=154&h=154&url=http%3A%2F%2F3.bp.blogspot.com%2F-C9-tcixmH7g%2FUka2VSAL4iI%2FAAAAAAAABNU%2F7k2pEKc_4gE%2Fs1600%2Fimg_0630_41654.jpg	http://www.raposo.blogspot.com.br/2013/09/cerrado.html	raposo.blogspot.com.br	2013-10-03T12:15:07+0000	1380802507	22	23	28	28	0	12	10	72	166283443520449_245311895617603	https://www.facebook.com/166283443520449/posts/245311895617603
link	post_page_166283443520449	Morre Cláudio Cavalcanti_ ator e secretário de Promoção e Defesa dos Animais do Rio.  Curta: https://www.facebook.com/pages/Papo-S%C3%A9rio/340501196072152?ref=ts&fref=ts	https://fbexternal-a.akamaihd.net/safe_image.php?d=AQAQ3UM7E4ZBkTlP&w=154&h=154&url=http%3A%2F%2F2.bp.blogspot.com%2F-os4sFKLKuTM%2FUklpRyTFrkI%2FAAAAAAAABOQ%2FFss_GTsRkJ4%2Fs400%2FClaudio_Cavalcanti.jpg	http://www.raposo.blogspot.com.br/2013/09/morre-claudio-cavalcanti-ator-e.html	raposo.blogspot.com.br	2013-09-30T12:12:19+0000	1380543139	26	28	9	9	0	7	6	48	166283443520449_244359455712847	https://www.facebook.com/166283443520449/posts/244359455712847
link	post_page_166283443520449	Rede Sustentabilidade conversa com ministra Cármen Lúcia	https://fbexternal-a.akamaihd.net/safe_image.php?d=AQB5huOKLyKJYGqf&w=154&h=154&url=http%3A%2F%2Fbrasilemrede.com.br%2Fimages%2Fredesustentabilidade.png	http://www.brasilemrede.com.br/index.php/noticias/952-rede-sustentabilidade-conversa-com-ministra-c%C3%A1rmen-l%C3%BAcia.html	brasilemrede.com.br	2013-08-19T18:41:38+0000	1376937698	27	28	8	8	0	11	4	50	166283443520449_231100410372085	https://www.facebook.com/166283443520449/posts/231100410372085
link	post_page_166283443520449	Claudia Magalhães coletou 8 mil assinaturas em 40 dias - “Fui fisgada pela #rede e estou feliz”	https://fbexternal-a.akamaihd.net/safe_image.php?d=AQB5huOKLyKJYGqf&w=154&h=154&url=http%3A%2F%2Fbrasilemrede.com.br%2Fimages%2Fredesustentabilidade.png	http://www.brasilemrede.com.br/index.php/mobilizadores/940-claudia-magalh%C3%A3es-coletou-8-mil-assinaturas-em-40-dias-%E2%80%9Cfui-fisgada-pela-rede-e-estou-feliz%E2%80%9D.html	brasilemrede.com.br	2013-08-19T18:41:18+0000	1376937678	24	26	0	0	0	0	0	24	166283443520449_231100357038757	https://www.facebook.com/166283443520449/posts/231100357038757
link	post_page_166283443520449	Todo cargo público terá que ser preenchido a partir de critérios e requisitos previamente estabelecidos	https://fbexternal-a.akamaihd.net/safe_image.php?d=AQB5huOKLyKJYGqf&w=154&h=154&url=http%3A%2F%2Fbrasilemrede.com.br%2Fimages%2Fredesustentabilidade.png	http://www.brasilemrede.com.br/index.php/artigos/939-todo-cargo-p%C3%BAblico-ter%C3%A1-que-ser-preenchido-a-partir-de-crit%C3%A9rios-e-requisitos-previamente-estabelecidos.html	brasilemrede.com.br	2013-08-19T18:41:02+0000	1376937662	37	39	8	8	0	30	3	78	166283443520449_231100313705428	https://www.facebook.com/166283443520449/posts/231100313705428
link	post_page_166283443520449	Democratizar a Democracia	https://fbexternal-a.akamaihd.net/safe_image.php?d=AQB5huOKLyKJYGqf&w=154&h=154&url=http%3A%2F%2Fbrasilemrede.com.br%2Fimages%2Fredesustentabilidade.png	http://www.brasilemrede.com.br/index.php/noticias/877-democratizar-a-democracia.html	brasilemrede.com.br	2013-08-19T18:40:39+0000	1376937639	21	23	4	4	0	15	0	40	166283443520449_231100270372099	https://www.facebook.com/166283443520449/posts/231100270372099
link	post_page_166283443520449	Fonte: Blog do Marco Raposo	https://fbcdn-profile-a.akamaihd.net/hprofile-ak-ash1/t1/c14.12.152.152/s100x100/1001583_223665034453009_1794356120_a.png	https://www.facebook.com/permalink.php?story_fbid=223980394421473&id=178488295637350	facebook.com	2013-08-08T16:50:53+0000	1375980653	8	9	0	0	0	1	0	9	166283443520449_227449947403798	https://www.facebook.com/166283443520449/posts/227449947403798
link	post_page_166283443520449	Vamos Curtir.	https://scontent-b.xx.fbcdn.net/hprofile-ash3/l/t1.0-1/p200x200/602078_409677172487887_1407135805_n.png	https://www.facebook.com/pages/Papo-S%C3%A9rio/340501196072152	facebook.com	2013-08-05T19:41:36+0000	1375731696	15	15	1	1	0	3	0	19	166283443520449_226468617501931	https://www.facebook.com/166283443520449/posts/226468617501931
video	post_page_166283443520449	Coletar_ enviar_ até registrar! Vamos em frente! Vamos em rede!	https://fbexternal-a.akamaihd.net/safe_image.php?d=AQB_ygBn1x9FKXK8&w=130&h=130&url=http%3A%2F%2Fi1.ytimg.com%2Fvi%2Fn98lid3dxcQ%2Fmaxresdefault.jpg%3Ffeature%3Dog	http://www.youtube.com/watch?v=n98lid3dxcQ	youtube.com	2013-07-31T11:36:26+0000	1375270586	15	17	6	6	0	12	1	34	166283443520449_224673837681409	https://www.facebook.com/166283443520449/posts/224673837681409
link	post_page_166283443520449	ASSINE!!!		http://www.brasilemrede.com.br/assine/	brasilemrede.com.br	2013-07-26T12:14:07+0000	1374840847	8	9	2	2	0	2	0	12	166283443520449_222966611185465	https://www.facebook.com/166283443520449/posts/222966611185465
link	post_page_166283443520449	Só existe o que se faz!	https://fbexternal-a.akamaihd.net/safe_image.php?d=AQB5huOKLyKJYGqf&w=154&h=154&url=http%3A%2F%2Fbrasilemrede.com.br%2Fimages%2Fredesustentabilidade.png	http://brasilemrede.com.br/index.php/entrada	brasilemrede.com.br	2013-07-26T12:13:47+0000	1374840827	7	8	5	5	0	4	0	16	166283443520449_222966514518808	https://www.facebook.com/166283443520449/posts/222966514518808
link	post_page_166283443520449	CURTAM!	https://scontent-b.xx.fbcdn.net/hprofile-ash3/l/t1.0-1/p200x200/602078_409677172487887_1407135805_n.png	https://www.facebook.com/pages/Papo-S%C3%A9rio/340501196072152	facebook.com	2013-06-30T02:50:56+0000	1372560656	19	19	3	3	0	2	3	27	166283443520449_214441665371293	https://www.facebook.com/166283443520449/posts/214441665371293
video	post_page_166283443520449	Marina comenta as manifestações pelo Brasil.  CURTAM! http://www.facebook.com/pages/Papo-S%C3%A9rio/340501196072152	https://fbcdn-vthumb-a.akamaihd.net/hvthumb-ak-prn2/t15/245240_497128660359195_497128413692553_55972_690_t.jpg	https://www.facebook.com/photo.php?v=497128413692553	facebook.com	2013-06-30T02:50:05+0000	1372560605	43	45	18	18	0	31	2	94	166283443520449_214441498704643	https://www.facebook.com/166283443520449/posts/214441498704643
link	post_page_166283443520449	Reunião nacional de mobilizadores (pela internet)  Nesta segunda_ 20/5_ às 20h (Horário de Brasília) realizaremos uma reunião nacional de mobilizadores. Para participar basta ter um computador com acesso à internet.  Link para a reunião (será ativado no horário): www.youtube.com/brasilemrede	https://fbexternal-a.akamaihd.net/safe_image.php?d=AQCIU39L3mkgYJL3&w=154&h=154&url=https%3A%2F%2Flh5.googleusercontent.com%2F-LIzhODdXBZY%2FAAAAAAAAAAI%2FAAAAAAAAAAA%2FvAwheLxGgVk%2Fs500-c-k%2Fphoto.jpg%3Ffeature%3Dog	http://www.youtube.com/brasilemrede	youtube.com	2013-05-20T10:51:25+0000	1369047085	17	19	2	2	0	18	0	37	166283443520449_199352453546881	https://www.facebook.com/166283443520449/posts/199352453546881
