type	by	post_message	picture	link	link_domain	post_published	post_published_unix	likes	likes_count_fb	comments_all	comments_base	comments_replies	shares	comment_likes	engagement	post_id	post_link
link	post_user_166283443520449	http://www.peticaopublica.com.br/pview.aspx?pi=preservairati	https://fbexternal-a.akamaihd.net/safe_image.php?d=AQDBFlgqAqXsbArQ&w=154&h=154&url=http%3A%2F%2Fwww.peticaopublica.com.br%2Fimagespet%2Fbr%2F69421_1.jpg	http://www.peticaopublica.com.br/pview.aspx?pi=preservairati	peticaopublica.com.br	2014-03-12T01:17:45+0000	1394587065	0	0	0	0	0	0	0	0	166283443520449_696791360360186	https://www.facebook.com/166283443520449/posts/696791360360186
link	post_user_166283443520449	https://eleicoeslimpas.org.br/assine 	https://fbexternal-a.akamaihd.net/safe_image.php?d=AQAH8n5YSaukhRa1&w=154&h=154&url=https%3A%2F%2Feleicoeslimpas.org.br%2Fassets%2Fimg%2Flogo.png%3F1378152922	https://eleicoeslimpas.org.br/assine	eleicoeslimpas.org.br	2014-03-09T03:21:22+0000	1394335282	0	0	1	1	0	0	0	1	166283443520449_443279905808754	https://www.facebook.com/166283443520449/posts/443279905808754
video	post_user_166283443520449	Apoiamos a Rede Sustentabilidade e convocamos para Eterna Guerra https://www.youtube.com/watch?v=vS-RG3-hpkU				2014-03-08T22:43:07+0000	1394318587	0	0	1	1	0	0	0	1	166283443520449_10201062044787864	https://www.facebook.com/166283443520449/posts/10201062044787864
status	post_user_166283443520449	Redeiros_ bom dia. No artigo 1o do Estatuto consta: _§2ºO uso para quaisquer fins_ inclusive a exploração comercial_ industrial e publicitária_ das marcas e símbolos da REDE só poderá se dar mediante concessão_ autorização ou delegação explícitas da Comissão Executiva Nacional._  Pergunto: Na página(comunidade) que criei para São Bernardo do Campo-SP cidade que resido posso utilizar o logotipo da REDE _ bem como_ foto da Marina ou preciso enviar alguma solicitação por escrito à Comissão Executiva Nacional conforme §2 Art.1o.?  REDE Sustentabilidade SBC Att_ Ricardo Garcia 				2014-03-07T15:01:06+0000	1394204466	1	1	0	0	0	0	0	1	166283443520449_297989270349865	https://www.facebook.com/166283443520449/posts/297989270349865
status	post_user_166283443520449	Uma Pergunta_ vocês vão apoiar os tucanos em Minas?				2014-02-27T11:48:54+0000	1393501734	0	0	0	0	0	0	0	0	166283443520449_295043223977803	https://www.facebook.com/166283443520449/posts/295043223977803
photo	post_user_166283443520449	Com Mateus Prado no 2o encontro Regional Rede Sustentabilidade ABCDMRR em São Caetano do Sul.	https://fbcdn-photos-c-a.akamaihd.net/hphotos-ak-frc3/t1.0-0/1795478_10202494535479162_402164510_s.jpg	https://www.facebook.com/photo.php?fbid=10202494535479162&set=a.10202494526278932.1073741844.1668241835&type=1	facebook.com	2014-02-26T20:54:07+0000	1393448047	10	10	1	1	0	0	1	12	166283443520449_294856510663141	https://www.facebook.com/166283443520449/posts/294856510663141
photo	post_user_166283443520449		https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-prn2/t1.0-9/q71/s480x480/1622225_309221435893132_1254526089_n.jpg	https://www.facebook.com/photo.php?fbid=309221435893132&set=o.166283443520449&type=1	facebook.com	2014-02-25T00:34:00+0000	1393288440	0	0	0	0	0	0	0	0	166283443520449_309221435893132	https://www.facebook.com/166283443520449/posts/309221435893132
status	post_user_166283443520449	Eu na REDE? Agora estou.... 				2014-02-22T03:59:53+0000	1393041593	0	0	0	0	0	0	0	0	166283443520449_293249207490538	https://www.facebook.com/166283443520449/posts/293249207490538
link	post_user_166283443520449	a nova política é assim é:Aécio Neves quer oficializar pacto com Eduardo Campos para segundo turno | Política: Diario de... http://www.diariodepernambuco.com.br/app/noticia/politica/2014/02/21/interna_politica_490654/aecio-neves-quer-oficializar-pacto-com-eduardo-campos-para-segundo-turno.shtml	https://fbexternal-a.akamaihd.net/safe_image.php?d=AQBQ8WaRMaMplPul&w=154&h=154&url=http%3A%2F%2Fimgs.diariodepernambuco.com.br%2Fdiario%2Favatar.jpg	http://www.diariodepernambuco.com.br/app/noticia/politica/2014/02/21/interna_politica,490654/aecio-neves-quer-oficializar-pacto-com-eduardo-campos-para-segundo-turno.shtml	diariodepernambuco.com.br	2014-02-21T14:53:50+0000	1392994430	0	0	0	0	0	0	0	0	166283443520449_601305109950028	https://www.facebook.com/166283443520449/posts/601305109950028
link	post_user_166283443520449	#Rede1ano | PPS sempre foi solidário à formação da Rede Sustentabilidade de Marina Silva e também festeja esse 1º ano de conquistas da #NovaPolítica.    Reveja aqui algumas postagens que fizemos sobre o assunto:    Como fazer política diante do descrédito do povo?  http://www.23pps.blogspot.com.br/2013/07/como-fazer-politica-diante-do.html    A sustentabilidade é a releitura do socialismo?  http://23pps.blogspot.com.br/2013/10/a-sustentabilidade-e-releitura-do.html    _Dia D_: o Brasil precisa de Marina e da #REDE  http://23pps.blogspot.com.br/2013/10/dia-d-o-brasil-precisa-de-marina-e-da.html    Sustentabilidade em festa_ velha política em luto  http://23pps.blogspot.com.br/2013/10/nova-politica-em-festa-golpistas-em-luto.html    Velha política em festa_ democracia em luto  http://23pps.blogspot.com.br/2013/10/velha-politica-em-festa-democracia-em.html    Marina Silva Rede Eduardo Campos Bazileu Alves Margarido Neto Pedro Ivo Guarani Kaiowá Mara Prado Neca Setubal Ricardo Young 1 João Paulo Capobianco Marcela Oliveira Scotti de Moraes Celio Turino Walter Feldman Luiza Erundina Rede Nossa São Paulo RAPS Raps Brasil IDS Rede Sustentabilidade Mateus Prado Humberto Dantas Gaudencio Torquato Ricardo Young Adotei Ricardo Young	https://fbexternal-a.akamaihd.net/safe_image.php?d=AQACxYEYkD6LyJ4e&w=154&h=154&url=http%3A%2F%2F1.bp.blogspot.com%2F-3xGBWOewddg%2FUd6wIPr_xXI%2FAAAAAAAAKQ4%2FOBNkKgrq7dk%2Fs320%2Fmudando.jpg	http://www.23pps.blogspot.com.br/2013/07/como-fazer-politica-diante-do.html	23pps.blogspot.com.br	2014-02-19T15:10:57+0000	1392822657	3	3	4	4	0	0	1	8	166283443520449_292072370941555	https://www.facebook.com/166283443520449/posts/292072370941555
