id	type	message	created_time	comments	likes	commentsandlikes
183557128478424_266154390218697	status	um conceito repetido_ assim como seu próprio nome (de vc que tá lendo)_ ou de algum produto_ ou de deus_ tende a criar tantas conexões com o sistema cognitivo_ que é capaze de causar um estado de fluxo de libido_ quase um curto circuito (um _quasi-curto-circuito_). Sua contemplação causa conforto_ revelação e um estado quasi-hipnótico_ de transe mesmo.__Faz algum sentido isso? Alguém arrisca uma versão do mesmo texto_ mas em linguajar corrente especialistas ou acadêmicos?	2014-03-07T03:25:20+0000	2	3	5
183557128478424_266300956870707	link		2014-03-07T15:17:56+0000	0	2	2
183557128478424_266298666870936	photo	1º Diálogos do Lacaneando de 2014!!!_SÁBADO_ 15 DE MARÇO_ ÀS 10H30._LIVRARIA DA VILA - SHOPPING HIGIENÓPOLIS._Com os psicanalistas Christian Dunker_ Maria Lucia Homem e Andréa Brunetto.	2014-03-07T15:08:39+0000	0	0	0
183557128478424_266298403537629	photo		2014-03-07T15:07:27+0000	0	0	0
183557128478424_266297480204388	photo	1º Evento do _Mais Ainda_ na Livraria da Vila - Lorena!_Dia 12 de março_ quarta-feira_ às 19h30._Evento gratuito!!! Aberto ao público!	2014-03-07T15:06:59+0000	0	0	0
183557128478424_266223480211788	photo	pessoal_ evento interessante sobre Lacan em SP.	2014-03-07T09:39:49+0000	0	6	6
183557128478424_266021803565289	status	[Mudança de data]__Colegas_ apróxima reunião do LATESFIP foi transferida para dia 15 de março_ 10-12:30.	2014-03-06T15:02:33+0000	1	18	19
183557128478424_260974690736667	status	[Próxima reunião] - Em 8 de março_ para discussão de um texto do Vladimir.	2014-02-17T20:15:04+0000	6	20	26
183557128478424_264254293742040	photo	para quem trabalha com gênero._Marieke Borren_ “Feminism as Revolutionary Practice: From Justice and the Politics of Recognition to Freedom”	2014-02-28T12:25:31+0000	0	2	2
183557128478424_263117313855738	link	Texto da semana no Costurando Palavras: http://www.costurandopalavras.com.br/2014/02/carta-12-sobre-etica-impunidade-e.html	2014-02-24T23:27:35+0000	0	4	4
183557128478424_263102690523867	photo		2014-02-24T22:17:51+0000	0	0	0
183557128478424_263057803861689	link	Sobre as perspectivas do neoliberalismo	2014-02-24T18:45:44+0000	0	2	2
183557128478424_262693047231498	photo		2014-02-23T11:43:40+0000	0	7	7
183557128478424_262043417296461	link	Convido a todos para o debate sobre as relações entre os discursos e a sexualidade através deste excelente filme portenho que trata do hermafroditismo e seus conflitos. __Debate sobre o filme: XXY__Tema: Discursos e sexualidade_Com: Paul Kardous__Data: 22/02/2014 às 14 hs	2014-02-21T01:38:13+0000	0	2	2
183557128478424_261562807344522	link	Novos Cadernos de Ética e Filosofia Política	2014-02-19T14:41:04+0000	0	4	4
183557128478424_261183267382476	video	Vídeo do debate _Cultura Popular em Questão_ organizado pelo PET-Filosofia da USP._Abaixo os vídeos das falas do Pablo Ortellado e do Vladimir Safatle.	2014-02-18T14:17:08+0000	0	13	13
