id	type	message	created_time	comments	likes	commentsandlikes
505090906188661_733136403384109	status	Nós temos 322 membros nessa lista_ e ninguém aqui é palhaço pra ficar trabalhando de graça pra vcs curtirem ou não. então vai ter que rolar uma reestruturação nisso aqui. Se não se manifestar vai sair fora.	2014-03-08T18:12:52+0000	0	1	1
505090906188661_733135813384168	status	Gente_ sei que estou sendo meio chata com o catarse_ mas se é pra colocar 300 pessoas num grupo_ pra só 5_ 6 trabalharem_ eu vou tirar todo mundo daqui_ e ficar com quem se interessa!!!!	2014-03-08T18:10:56+0000	0	1	1
505090906188661_733133423384407	link	here for other countries - to make the deposit en eglish http://catarse.me/en/tecnoxamanismo	2014-03-08T18:03:45+0000	0	0	0
505090906188661_733087946722288	status	perdaum por postar novamente_ mas esta última versão acho que suavizou bem.__== Poema psico-analítico em 6 partes ==__(1. o corpo mediado pela língua)__O queixo_Treme enquanto a língua_Mexe (1) e em-_Podera o_Incons-_Ciente (2) do corpo (3)__Por meca-_Nismos_Instin-_Tivos/automa-_Tizados que atam (2)_A movimen-_Tação da língua (1)_Ao_Movi-_Mento do corpo_E pro-_Cessos enzimá-_Ticos. Esta tradução da lín-_Gua (1) ao_Corpo (3) passa por uma inter-_Face co-_Gnitiva/semi-_Ótica (2).__1->2->3__O pensamento menos colado_Nesta interface lingua-corpo_Em muito usufrui_Da lin-_Guagem escrita.__Me-_Xer a lín-_Gua a-_Tiva o meta-_Bolismo_ assim como o_Ativa tre-_Mer o queixo.__A mesma mo-_Vimentação fa-_Zemos quando co-_Memos.__A_Enun-_Ciação_Da alimentação e a nossa compe-_Tência prima de comunicação_Envolve o_Mesmo aparato motor:_A boca_ a língua e o queixo.__Em_Menor a-_Tividade_Consciente__O pescoço_ a faringe e a laringe.__Os músculos a-_Bdominais_E_O corpo todo___Quando a lin-_Guagem verbal e dan-_Ça se mes-_Clam.__Filh@ da men-_Tira é o de lin-_Gua_Solta.__Tornando lúcido._É melhor u-_Sufruir_Do ferramental an-_Cestral que é o cor-_Po._D-_O que negar-lhe a_Conveniência do conciênte_Que ele mesmo criou.__A-_Proveitar suas_Sutilezas_ anseios e vínculos (do corpo).__N-_Ão solta_ mas a lín-_Gua cons-_Cientizada enquanto se me-_Xe na boca__É recurso ancestral._Su-_A origem remota ressona com_Padrões de deses-_Pero e dom-_Inação._Sua pró-_Pria bestialidade impõe que seja con-_Trolada._E es-_Te me-_Diador entre a lín-_Gua e o com-_Portamento é_O consciente. O e-_Go freudiano?__Ancentra-_Al linda_Disse-me a_Mente.__(2. o corpo e a máquina)__O conto:_https://www.facebook.com/groups/soundingskull/permalink/663631677026808/?stream_ref=2_É ferra-_Menta_ en-_Quanto ameaça o cor-_Po_ tanto de ser de-_Cepado (para os implantes)_Quanto de ser a-_Bandonado pelo ego_ se n_Ão empoderá-lo.__O precon-_Ceito_E os ta-_Bus__Os a-_Proveite_Pelos pro-_Cessos que captam_Para trans-_Cender as ca-_Pacidades atuais.__(3. interlúdio catalizador)_D-_Eu-_S os a-_Bençoe._Que é p-_Ai e é fi-_Lho_E de tanta_Conec-_Tividade no sistema cognitivo__É um quasi-_Curto-_Circuito nas vias_Libidinosas.__Que E-_Le os a-_Bençoe com este pra-_Zer_Carnal-celeste em tal me-_Dida que tenham tran-_Se._Que Ele os aben-_Çoe tanto_ que tenham re-_Velações_E satis-_Fações na a-_Lma_ que nada mais_É_Do que o con-_Junto ainda terreno_ mas imaterial.__A al-_Ma__Pareada cons-_Ciente e inconscien-_Te__Para regimento_Consciente do corpo.__(4. máquina ~ cognição)_As máquinas_São instrumentos para estabelecer barganha_De capacidades cognitivas_Com o inconsciente._Se ele não_Capacitar___O corpo sem órgãos_ material_ assusta o incosciente.__Este é um rem-_Édio._Entre o re-_Médio_Está a medida.__Nos des-_Envolvemos para poder a-_Proximar mais_De Ele_Sem morrer__Pois dis-_Ciplina a-_Mados.__Que n-_Osso cor-_Po_ feito de pó_De estrela_ que come pó_De estrela;_Respira e apalpa pó_De estrela._Que nos-_So corpo nos a-_Jude__Nos permita compreender co-_Mo funcionamos.__As máquinas são cons-_Tructos para em-_Poderar o conscient-_E._Nã-_O são só is-_So.__(5. codeta acordada)__Deus é o curto-_Cir-_Cuito_Cognitivo__Onde corre libido__também conhecido como curto-circuito sapien._D-_Eu-_S é a-_M-_Or._D-_Eus não é so-_Mente o curto-circuito_da carne__e não é some-_Ente a-_Mo-_R.__Toda légua_anda-_Da no Pre-_Sente__em diá-_Logo com E-_Le__É uma an-_Dada despertad@.__Quando do passa-_Do ou do futuro__É no presen-_Te_ com E-_Met.__Toda lé-_Gua andada no passa-_Do ou no_Fut-_Uro_É légua dor-_Mente.__Não é_Bom que se_Dur-_Ma enquanto se_Está acor-_Dado.__:::_(6. exemplos instrumentais )___Clame a mim_ e eu responderei_ e lhe direi coisas grandiosas_e insondáveis que você não conhece.__(Jeremias 33:3)__“Se quisermos tomar um medicamento específico_ devemos seguir a orientação específica indicada na bula_ ou conforme a receita prescrita pelo médico”._Da mesma forma_ o Bhagavad-Gita deve ser tomado ou aceito como ele é segundo o seu próprio orientador._E o orientador do Bhagavad-Gita é o Senhor Sri Krsna.__(Srila Prabhupada_ 1966.)___Quando as palavras são muitas_ o pecado está presente_ mas_quem controla a língua é sensato.__(Pr 10:19)___Ele vem e nos traz a paz que nos envolve__Seu poder está acima de tudo_O poder do Pai está acima de tudo__(Cantico Yorubá de Oxalá)___Todos tropeçamos de muitas maneiras. Se alguém não tropeça no falar__tal homem é perfeito.__(Tg 3:2)___Allah é a luz dos céus e da terra. O exemplo de Sua luz é como o de um nicho_ em que há uma lâmpada. A lâmpada está em um cristal. O cristal é como se fora astro brilhante. É aceso pelo óleo de uma bendita árvore olívea_ nem de leste nem de oeste; seu óleo quase se ilumina_ ainda que o não toque fogo algum. É luz sobre luz. Allah guia a quem quer. E Allah propõe_ para os homens_ os exemplos. E Allah_ de todas as cousas_ é Onisciente.__(Alcorão - 24_ 35)___Deus não nos deu espírito de covardia_ mas de poder_ de amor e de equilíbrio.__(2Tm 1:7)	2014-03-08T16:33:20+0000	1	3	4
505090906188661_732995870064829	link	ahe pessoal___ vamos vcs também depositar____ vou depositar 100 conto agora...  vamos começar pela gente e vamos espalhando pros nossos parentes. beijooo... ó nóis na gringa!!	2014-03-08T12:53:37+0000	1	4	5
505090906188661_727021627328920	status	Gente querida.__1- Luiza terminou o vídeo - aqui está ele - https://vimeo.com/87391333__2- O Isaac arrumou o site e abriu pra edição_ então quem quiser começar a fazer edições_ ou abrir páginas novas pra organizar um pouco_ a gente agradece._http://tecnoxamanismo.metareciclagem.org__3- Lucas Govea tá tocando o site do hotglue - http://tecnoxamanismo.hotglue.me/__4- Já coloquei tudo no catarse e leva até 4 dias para eles analisarem a proposta e decidirem se querem nosso projeto ou não.	2014-02-24T14:22:46+0000	13	13	26
505090906188661_732228623474887	link	Vaquinha para o Festival Tecnoxamanismo está no ar!!!	2014-03-06T19:52:36+0000	9	15	24
505090906188661_732438656787217	status	tudo o que ocorre na sua vida_ um anjo que trouxe. Dedico este momento ao anjo que trouxe este esqueiro_ este bráu e esta casa. Agradeço ao anjo que trouxe vocês e o que traz esta interface.	2014-03-07T04:43:57+0000	1	2	3
505090906188661_731528216878261	status	Olê_ Olá... atenção atenção...  eu to aqui as voltas com o catarse e prometendo uma camiseta para os que nos ajudam com o dinheiro_... então por favor_ Alguém pode pensar em um desenho em bonito pra colocarmos na camiseta?  tem que ter I FESTIVAL INTERNACIONAL DE TECNOXAMANISMO - beijoos	2014-03-05T11:26:42+0000	4	2	6
505090906188661_732630116768071	status	O que eu quero dizer com isso_ é que:__1) O tecnoxamanismo provém de uma lixeira de excessos_ sobras_ restos_ sujeiras_ misturas_ ruídos_ processos descontínuos_ xamanismos transversalizados_ sincréticos_ incorporações de ideias_ de culturas_ antropofagias sociais_ culturais_ gambiarras_ ideologias políticas atravessadas_ garimpos eletrônicos.__2) O tecnoxamanismo é reciclador de matérias e subjetividades_ reciclador de ambientes_ reconectador entre humanos e Terra_ humanos e universo_ um ”religare” sem representação nem univocidade_ um modo de abertura perceptiva_ ampliação da escuta_ abertura para a espectrologia que nos circunda_ para o mistério_ uma lição de humildade em relação a existência das coisas.__3) O tecnoxamanismo é sujo porque parte das lixeiras materiais e subjetivas dos  humanos_ mas isso não significa subestimar a força do xamanismo_ muito pelo contrário_ significa atribuir poderes ao lixo_ para além da reciclagem industrial_ que o organiza_ separa_ retém_ explora o catador de lixo. Mas atribuir poderes ao lixo exatamente porque é a partir dessas confluências miseráveis que nos é possível perceber que tipo de espécie somos e daí dessa condição explícita_ podemos então ampliar alguns campos de convergência para nos transformarmos em algo mais interessante.	2014-03-07T16:18:58+0000	2	3	5
